Description,Brand,Price,Img url,Country
Dina Farms Strawberry Yogurt - 105 gm,Dina Farms,7.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6e/h4f/47699722928158/200Wx200H_549769_main.jpg,Egypt
Rich Bake White Toast - 500gm,Rich Bake,42.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h04/h62/48146416304158/200Wx200H_38151_main.jpg,Egypt
Juhayna Lactose Free Milk - 1 Liter,Juhayna,84.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h75/he9/26626488860702/487335_main.jpg_200Wx200H,Egypt
Juhayna Mix Vanilla Milk - 200 ml,Juhayna,10.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h73/h59/26626490335262/12732_main.jpg_200Wx200H,Egypt
Juhayna Zabado Strawberry Yoghurt Drink - 440 ml,Juhayna,18.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h56/hdf/26624097943582/70079_main.jpg_200Wx200H,Egypt
Juhayna Zabado Peach  Yoghurt Drink - 440 ml,Juhayna,18.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf7/hc4/26624098500638/70082_main.jpg_200Wx200H,Egypt
Juhayna Rayeb Milk - 1 Liter,Juhayna,40.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfa/ha2/26634237050910/12754_main.jpg_200Wx200H,Egypt
Juhayna Mix Caramel Milk - 200 ml,Juhayna,10.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0d/h53/26626490171422/12731_main.jpg_200Wx200H,Egypt
Juhayna Natural Yogurt - 105 gram - 6 Count,Juhayna,35.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb2/hf5/31324857040926/416430_main.jpg_200Wx200H,Egypt
Juhayna 0% Fat Milk - 1 Liter,Juhayna,41.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2d/h7e/10066887966750/390280_main.jpg_200Wx200H,Egypt
Lamar Full Cream Milk - 200 ml,Lamar,9.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb7/he9/10067223805982/401766_main.jpg_200Wx200H,Egypt
Juhayna Zabado Berry Yogurt Drink - 440 ml,Juhayna,18.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbd/hc6/26623831179294/413677_main.jpg_200Wx200H,Egypt
Juhayna Zabado Mango Yoghurt Drink - 440 ml,Juhayna,18.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/hba/26624098828318/70080_main.jpg_200Wx200H,Egypt
Juhayna Greek Yogurt - 0.2% Fat - 180 Gram,Juhayna,30.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8a/hea/26656875347998/526240_main.jpg_200Wx200H,Egypt
Juhayna Greek Yogurt 2% Fat - 180 gram,Juhayna,30.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb8/ha6/26634240557086/526239_main.jpg_200Wx200H,Egypt
Teama Triangle Cheese - 32 Pieces,Teama,63.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb0/h75/9286956810270/362667_main.jpg_200Wx200H,Egypt
Juhayna Greek Yogurt 5% Fat - 180 Gram,Juhayna,30.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb2/h37/26634239279134/526238_main.jpg_200Wx200H,Egypt
La Vache Qui Rit Triangle Cheese - 32 Pieces,La Vache Qui Rit,82.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h43/h73/51110159646750/200Wx200H_482313_main.jpg,Egypt
Diafa Cheddar Cheese - 400 gm,Diafa,35.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc7/he0/9286585483294/167749_main.jpg_200Wx200H,Egypt
Lamar 0%Fat Milk - 1 Liter,Lamar,38.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h13/hb8/49772007718942/200Wx200H_599782_main.jpg,Egypt
