Description,Brand,Price,Img url,Country
Farm Fresh Mixed Vegetables - 400 Gram,Farm fresh,11.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha8/h0f/34674363564062/310899_main.jpg_200Wx200H,Egypt
Halwani Bros Meat Sambousek - 400 gram,Halwani bros,91.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hde/h52/14623553617950/38053_main.jpg_200Wx200H,Egypt
Al Zahar Golash - 350 gram,Al Zahar,22.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h25/h04/48865591164958/200Wx200H_597460_main.jpg,Egypt
Givrex Frozen Okra Large - 400 Gram,Givrex,15.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h63/hdd/14623563612190/471807_main.jpg_200Wx200H,Egypt
Halwani Grilled Chicken Fillet - 400 gram,Halwani bros,175.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3a/h62/9286794608670/458735_main.jpg_200Wx200H,Egypt
Farm Fresh Okra Extra - 400 Gram,Farm fresh,29.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h37/h1a/34674363891742/493436_main.jpg_200Wx200H,Egypt
Chtaura Sambousek Sheets - 350 gram,Chtoora,27.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h45/hf5/26947181838366/568538_main.jpg_200Wx200H,Egypt
3 Chef Mimos Pizza - Margherita + Pastrami + Sausage - 400 gram,Chef mimo,60.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h86/ha8/14390686253086/167629_main.jpg_200Wx200H,Egypt
Halwani Bros Shish Tawook - 400 gram,Halwani bros,150.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/had/h0d/14623586254878/311844_main.jpg_200Wx200H,Egypt
Shahd Spicy Chicken Fillet - 400 gram,Shahd,99.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h06/ha9/50270989713438/200Wx200H_554957_main.jpg,Egypt
Givrex Frozen Strawberry - 400 gram,Givrex,18.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfb/h76/14818544910366/381459_main.jpg_200Wx200H,Egypt
Marina Large Shrimp - 400 gram,Marina,191.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hae/hce/27840628686878/571629_main.jpg_200Wx200H,Egypt
"Chef M Pizza Margherita, 400 gm - Pack of 2+1",Chef mimo,60.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h42/h8a/9801300049950/56271_main.jpg_200Wx200H,Egypt
Halwani Spicy Chicken Drumsticks - 700gm,Halwani bros,142.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2b/h88/9693307142174/448257_main.jpg_200Wx200H,Egypt
Three Chefs Chicken Nuggets - 400 gram,3 Chefs,95.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h80/h32/16764523315230/76504_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Hot Shots - 400 gram,Halwani bros,117.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf7/h41/14773448343582/448253_main.jpg_200Wx200H,Egypt
Al Zahar Extra Fillo - 500 gram,Al Zahar,30.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf3/h7a/48865592508446/200Wx200H_597466_main.jpg,Egypt
Wadi Food Whole Chicken - 1 Kg,Wadi Food,127.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hac/h44/12784126754846/537848_main.jpg_200Wx200H,Egypt
Chicketita Chicken Wings - 700 gm,Chicketita,81.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8d/hb6/9347243999262/450676_main.jpg_200Wx200H,Egypt
Supreme Cheese Sambousek - 350 gram,Unknown,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h31/hd3/27008822738974/566311_main.jpg_200Wx200H,Egypt
Meatland Beef Hot Dog - 25 Count,Meatland,139.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h38/h90/14773444018206/366485_main.jpg_200Wx200H,Egypt
Swiss Choice Frankfurter Beef Sausage - 1 Kg,Swiss choice,197.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h74/hbd/13012599504926/537760_main.jpg_200Wx200H,Egypt
Bosphorus Frozen Peeled Shrimps - Size 80/120 - 400 gram,Bosfor,239.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/h8c/14623776243742/530034_main.jpg_200Wx200H,Egypt
Supreme Meat Sambousek - 300 gram,Unknown,39.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h25/h7a/27008823263262/566310_main.jpg_200Wx200H,Egypt
Montana Mixed Vegetables - 400 Gram,Montana,16.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/h59/14623558336542/12484_main.jpg_200Wx200H,Egypt
Roasty Hot Crunchy Chicken Pane - 900gm,Roasty,111.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3e/h51/9802365141022/466270_main.jpg_200Wx200H,Egypt
Three Chefs Green Beans - 400 gram,3 Chefs,14.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd9/h4e/27954591760414/581195_main.jpg_200Wx200H,Egypt
Three Chefs Minced Molokhia - 400 gram,3 Chefs,14.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/h1a/27954592743454/581194_main.jpg_200Wx200H,Egypt
Givrex Peeled Broad Green Beans - 400 Gram,Givrex,22.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha9/h05/34146546581534/12165_main.jpg_200Wx200H,Egypt
Swiss Choice Smoked Salmon - 200 Gram,Swiss choice,450.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h67/h49/14623553388574/230947_main.jpg_200Wx200H,Egypt
Three Chefs Oriental Sausages - 350 gram,3 Chefs,105.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/hc6/27056029597726/575831_main.jpg_200Wx200H,Egypt
Chicketita Beef Hotdog - 12 Pieces,Chicketita,124.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h76/h09/29401377177630/585169_main.jpg_200Wx200H,Egypt
Roasty Chicken Pane - 750 gram,Roasty,84.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/h28/14773480095774/422667_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Pops Crunchy - 400 gram,Halwani bros,115.30 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfe/h32/14773471379486/510659_main.jpg_200Wx200H,Egypt
Fresh Seafood Mix - 400 Gram,Fresh,83.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf6/h49/14623626657822/494575_main.jpg_200Wx200H,Egypt
